,Restaurant_name,CO2
692,Sandwicher,0.0
693,City Beach,0.0
694,Ludwigs,0.0
695,Maria & Giovanni,0.0
696,PARK restaurant & terrace,0.0
697,Domino's Pizza,0.0
698,Die fromagerie,0.0
699,Starbucks,0.0
700,Isoletta Promis,0.0
701,Maraldo,0.0
702,Haus Goldstein,0.0
703,Zoom Restaurant - Glocal Dining,0.0
704,Kaya Doener & Pizza,0.0
705,Vecchio Forno,0.0
706,CityAlm / Citybeach,0.0
707,Gaststatte Weida im Blauen Bock,0.0
708,Dean And David,0.0
709,Mi Coba,0.0
710,Il Quadrifoglio,0.0
711,Club Michel,0.0
712,Da Rosario,0.0
713,Vito,0.0
714,Apfelweinwirtschaft Frank,0.0
715,Sossenheimer Doner & Pizza,0.0
716,Das Herz von Frankfurt,0.0
717,Jade Wok,0.0
718,Grazie Mille,0.0
719,Wittkoop,0.0
720,Palastbar Restaurant,0.0
721,Saltana Shisha Bar,0.0
722,Goldene Gerste,0.0
723,Little Vietnam,0.0
724,Taverna Alpha,0.0
725,Wiener Feinbackerei,0.0
726,Gua Xian,0.0
727,Konoba,0.0
728,McDonald's,0.0
729,Cafe Leidenschaft,0.0
730,Little Poplar,0.0
731,The Braze,0.0
732,Big Ebbel,0.0
733,Feinkost NOY,0.0
734,Cafe Bistro Levkos Pyrgos,0.0
735,Hot Dog Corner,0.0
736,Pizzeria Pomodoro,0.0
737,Asia Imbiss,0.0
738,Burgerbude,5.672941176470587
739,Molana Frankfurt,0.0
740,Vivace,0.0
741,Kleinmarkethalle,0.0
742,Asia thai food Ostend,0.0
743,Asian Flavors,0.0
744,Gul‘s Donerwelt,0.0
745,Hue,0.0
746,Wangfu Restaurant,0.0
747,Palu Grill Haus,0.0
748,Sushimama,0.0
749,Souper,0.0
750,Petit Mediterrane,0.0
751,Mamma Forno,0.0
752,Cafe Kitzel,0.0
753,GrandSeven,0.0
754,Sushi ffm,0.0
755,Trattoria Pizzeria Garofalo,0.0
756,Villa Bonn,0.0
757,Sissi und Franz,0.0
758,Brenman's Deli,0.0
759,Thai Phan,0.0
760,Hamburger am Turm,0.0
761,Alice Premium Doner,0.0
762,Mainkurbahnhof,0.0
763,Locanda Della Torre,0.0
764,Suppengrun,0.0
765,eccolo_Sandros Kochladen und so,0.0
766,Hessekopp,0.0
767,Limettenblaettchen,0.0
