Restaurant_name,avg_rating
Little Poplar,5.0
The Braze,4.5
Big Ebbel,3.4
Feinkost NOY,4.5
Cafe Bistro Levkos Pyrgos,5.0
Hot Dog Corner,4.5
Pizzeria Pomodoro,4.5
Asia Imbiss,4.7
Burgerbude,3.7
Molana Frankfurt,4.0
Vivace,3.7
Kleinmarkethalle,4.5
Asia thai food Ostend,3.5
Asian Flavors,4.5
Gul‘s Donerwelt,4.0
Hue,3.7
Wangfu Restaurant,4.0
Palu Grill Haus,4.2
Sushimama,4.3
Souper,4.1
Petit Mediterrane,3.7
Mamma Forno,3.7
Cafe Kitzel,4.6
GrandSeven,4.0
Sushi ffm,4.4
Trattoria Pizzeria Garofalo,4.5
Villa Bonn,4.5
Sissi und Franz,4.0
Brenman's Deli,3.8
Thai Phan,4.1
Hamburger am Turm,3.6
Alice Premium Doner,4.1
Mainkurbahnhof,5.0
Locanda Della Torre,4.3
Suppengrun,4.5
eccolo_Sandros Kochladen und so,4.7
Hessekopp,4.8
Limettenblaettchen,4.1
Waldhotel Hensel's Felsenkeller,4.6
Krapao Thai Bistro,4.8
Marinas EssBar,5.0
Da Renato,4.2
Nordost Grill - True Tasty - Gagaxiang,4.6
Monchi's,3.9
Cafe' Fahrtor,5.0
Imbiss Melilla,4.6
Pizzeria Da Bomba,4.6
eatDOORI Deli,4.6
Restaurant FUGO,4.3
Zum Nussbaum,3.8
Ypsilon,4.1
Thai Art,3.2
Motions,4.6
Eis&Cafe aRoma,4.4
Feinkost Paradies,4.3
Hooters American Sports Bar,3.3
Life Style Bar,3.9
Restaurant Zum Mirko,3.8
Restaurant Sandelmuhle,3.5
Recipe Bar & Eventlocation,4.4
Mathilda Glaskuchen,5.0
The Fifth Bar & Lounge,3.9
Alto Bar + Restaurant Neue Oper,4.3
Kushiya Ichikawa,4.8
Frankfurter Wirtshaus,3.2
Chichilas Tex Mex,4.2
Casa Italia | Ristorante Pizzeria,4.4
Cafe Caramel am Zoo,4.6
New Deli,4.5
Gaststatte Jahnvolk,3.7
Sushi am main,3.8
Bullys Burger,3.3
Cafe Albatros,4.5
Lebkuchen Schmidt,4.4
Prik Thai Restaurant,3.9
Pizzeria Bella Rosa,4.3
Pizzeria Isola Tavolara,4.0
Gaststatte Mainlust,3.7
Pavarotti And Friends,5.0
Yuyumi,3.4
Kaliko,3.9
Fischhaus Ohrmann,4.2
Stadtschanke Bergen,4.4
Rangolee,4.1
Sushiedo Frankfurt Zeil,4.4
L’angolo,3.8
Fiesta,4.3
Rosso Suite,3.4
Brizzis,3.8
Zeilsheim Pizza & Doener,4.3
Antru Noodle Bar & More - Vietnam Restaurant,3.7
Chinaski Tagesbar,3.4
Bier Stiefel,4.4
Heppy Green - eat fresh,4.3
rund & bunt,4.2
Philippi Taverna Ouzeri,4.8
Pizzeria Da Massimo,4.3
Sumela,3.4
Himalaya Sherpa,4.0
Sandwich and More,3.9
Frankfurter Restaurant,4.1
Xiang Asiatisches Restaurant,3.8
Mint.,3.6
Ried Back,3.9
El Burrito,4.2
Pizzeria la Cravatta,4.1
Westend Brunch,3.8
Chin-Thai Haus,3.8
Fuel Good,4.3
Yummi Restaurant and Bar,4.2
La Famiglia Frankfurt,4.3
China Restaurant Palms Garden,3.6
Elaine's Deli,3.4
Heidi's,3.6
Pizzeria La Brace,4.4
Pizzeria Dick & Doof Bergen-Enkheim,3.5
Frankfurter Apfelwein Botschaft,3.4
Eiscafe Paradiso,4.4
Fenstergucker,4.7
Aloha Poke im Bahnhofsviertel,3.5
Cafe Rotlint,4.3
La Gazzella,4.6
Rosisten 2,3.7
Brasserie Golos,4.3
Doy Doy,3.3
Silk Thai Cuisine & Bar,4.1
Misho,3.7
Post-Sportverein Blau-Gelb Frankfurt,4.0
Sultan Saray,4.0
Mekong-Imbiss,4.5
Hasan‘s Baba Doner,4.4
Cafe Extrablatt,3.2
Baders Fisch Deli,4.2
Der Goldene Wok,3.3
PAULANER Platzhirsch Wirtshaus am Main,3.4
Schneider's Cafe Snackbar - Die GenussSchneiderei,4.2
Cafe Frankfurt,5.0
GaststAtte Niewo,3.6
SAPO REY - FroschkOnig,3.6
SIS Ding,5.0
Salaedchen,3.9
Trattoria e Pizzeria  Santa Lucia alla Torre,4.4
Doy Doy Restaurant,3.4
Kastanienhof,3.6
Pizzeria Biertonne,4.1
Vina Licious,4.1
Restaurant Zum Stern,4.3
Il Vino Restaurant Frankfurt,3.7
Gosch Sylt,3.6
Gaststatte Hesseneck,4.4
Firat - Doner and Pizza House,5.0
Wie bei Omi,3.4
Pizzeria Rusticale,3.9
Geniessertreff,4.6
Pizzeria Il Maestro,5.0
Bayern Stub'n im Sheraton Congress Hotel Frankfurt,3.8
Fechemer Bootshaus,4.0
Artotheke,3.9
Kutscherklause,4.6
Oinotheke,4.0
Kupferstecher Frankfurt,3.4
Nazar Doner,3.3
Kyubang Cafe & Gallery,4.5
Petersen Gutes Essen,4.3
Classico Restaurant,3.6
La Preferida,3.4
Leslies American Diner,3.7
Weinstube Alte Munze,5.0
Bernemer Marktstube,4.4
Der Grieche,3.2
NaNa,3.9
Pizzeria Cimino da Paolo,5.0
